Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025-08-25 01:05:00+00:00,3368.71,3370.25,3368.38,3369.85,55,17,0
2025-08-25 01:06:00+00:00,3369.83,3369.83,3368.11,3368.19,61,17,0
2025-08-25 01:07:00+00:00,3368.14,3368.2,3367.39,3368.16,67,16,0
2025-08-25 01:08:00+00:00,3368.25,3368.66,3368.09,3368.59,46,17,0
2025-08-25 01:09:00+00:00,3368.6,3368.73,3368.02,3368.67,36,17,0
2025-08-25 01:10:00+00:00,3368.67,3368.75,3367.95,3367.96,41,17,0
2025-08-25 01:11:00+00:00,3367.87,3367.88,3367.16,3367.66,52,17,0
2025-08-25 01:12:00+00:00,3367.69,3367.78,3367.3,3367.42,27,17,0
2025-08-25 01:13:00+00:00,3367.42,3367.63,3367.33,3367.37,50,17,0
2025-08-25 01:14:00+00:00,3367.3,3367.76,3367.2,3367.61,46,17,0
2025-08-25 01:15:00+00:00,3367.65,3368.2,3367.6,3367.85,44,17,0
2025-08-25 01:16:00+00:00,3367.88,3368.62,3367.85,3368.44,57,15,0
2025-08-25 01:17:00+00:00,3368.48,3368.69,3368.48,3368.6,25,17,0
2025-08-25 01:18:00+00:00,3368.59,3368.62,3368.17,3368.27,43,17,0
2025-08-25 01:19:00+00:00,3368.29,3368.4,3367.96,3368.01,35,17,0
2025-08-25 01:20:00+00:00,3367.94,3368.4,3367.94,3368.37,27,17,0
2025-08-25 01:21:00+00:00,3368.36,3368.47,3367.98,3368.03,33,17,0
2025-08-25 01:22:00+00:00,3367.98,3368.32,3367.89,3368.2,42,14,0
2025-08-25 01:23:00+00:00,3368.21,3368.39,3368.16,3368.22,31,17,0
2025-08-25 01:24:00+00:00,3368.21,3368.33,3368.08,3368.29,25,17,0
2025-08-25 01:25:00+00:00,3368.33,3368.47,3368.27,3368.47,33,17,0
2025-08-25 01:26:00+00:00,3368.46,3368.46,3368.25,3368.34,22,17,0
2025-08-25 01:27:00+00:00,3368.34,3368.34,3367.67,3367.84,37,17,0
2025-08-25 01:28:00+00:00,3367.84,3367.85,3367.72,3367.82,27,17,0
2025-08-25 01:29:00+00:00,3367.78,3367.85,3367.7,3367.77,11,17,0
2025-08-25 01:30:00+00:00,3367.67,3367.78,3367.41,3367.42,25,17,0
2025-08-25 01:31:00+00:00,3367.47,3367.61,3367.37,3367.37,30,17,0
2025-08-25 01:32:00+00:00,3367.41,3367.66,3367.37,3367.65,37,17,0
2025-08-25 01:33:00+00:00,3367.55,3367.61,3367.43,3367.5,21,17,0
2025-08-25 01:34:00+00:00,3367.48,3367.62,3367.23,3367.31,39,17,0
2025-08-25 01:35:00+00:00,3367.3,3367.41,3367.09,3367.11,31,17,0
2025-08-25 01:36:00+00:00,3367.09,3367.46,3366.71,3366.81,41,16,0
2025-08-25 01:37:00+00:00,3366.89,3366.99,3366.63,3366.76,38,5,0
2025-08-25 01:38:00+00:00,3366.8,3367.0,3366.6,3366.73,45,17,0
2025-08-25 01:39:00+00:00,3366.69,3366.94,3366.69,3366.79,31,17,0
2025-08-25 01:40:00+00:00,3366.78,3367.19,3366.78,3367.18,30,17,0
2025-08-25 01:41:00+00:00,3367.05,3367.05,3366.68,3366.77,38,17,0
2025-08-25 01:42:00+00:00,3366.76,3366.9,3366.69,3366.85,27,17,0
2025-08-25 01:43:00+00:00,3366.79,3366.83,3366.7,3366.78,31,17,0
2025-08-25 01:44:00+00:00,3366.81,3366.98,3366.02,3366.27,53,17,0
2025-08-25 01:45:00+00:00,3366.27,3366.64,3366.18,3366.46,36,17,0
2025-08-25 01:46:00+00:00,3366.44,3366.54,3365.87,3366.14,39,17,0
2025-08-25 01:47:00+00:00,3366.08,3366.27,3366.03,3366.23,39,17,0
2025-08-25 01:48:00+00:00,3366.18,3367.13,3366.18,3366.95,51,15,0
2025-08-25 01:49:00+00:00,3366.95,3367.22,3366.81,3367.15,30,15,0
2025-08-25 01:50:00+00:00,3367.13,3367.29,3367.11,3367.22,30,17,0
2025-08-25 01:51:00+00:00,3367.21,3367.27,3366.88,3366.93,25,17,0
2025-08-25 01:52:00+00:00,3366.68,3367.02,3366.64,3366.89,24,17,0
2025-08-25 01:53:00+00:00,3366.89,3367.16,3366.89,3366.99,24,17,0
2025-08-25 01:54:00+00:00,3366.99,3367.44,3366.99,3367.44,20,17,0
2025-08-25 01:55:00+00:00,3367.44,3367.67,3367.36,3367.43,41,17,0
2025-08-25 01:56:00+00:00,3367.43,3367.59,3367.29,3367.35,22,17,0
2025-08-25 01:57:00+00:00,3367.35,3367.57,3367.14,3367.19,40,17,0
2025-08-25 01:58:00+00:00,3367.19,3367.19,3366.9,3367.05,21,17,0
2025-08-25 01:59:00+00:00,3367.05,3367.24,3366.96,3367.23,17,17,0
2025-08-25 02:00:00+00:00,3367.23,3367.45,3367.23,3367.42,31,17,0
2025-08-25 02:01:00+00:00,3367.43,3368.02,3367.39,3367.44,50,17,0
2025-08-25 02:02:00+00:00,3367.44,3367.46,3367.15,3367.22,28,17,0
2025-08-25 02:03:00+00:00,3367.25,3367.28,3366.96,3366.99,40,17,0
2025-08-25 02:04:00+00:00,3366.99,3367.01,3366.74,3366.82,28,17,0
2025-08-25 02:05:00+00:00,3366.82,3366.98,3366.47,3366.47,31,17,0
2025-08-25 02:06:00+00:00,3366.47,3366.58,3366.37,3366.49,35,17,0
2025-08-25 02:07:00+00:00,3366.49,3366.7,3366.38,3366.67,28,17,0
2025-08-25 02:08:00+00:00,3366.61,3366.8,3366.61,3366.72,22,17,0
2025-08-25 02:09:00+00:00,3366.72,3367.82,3366.6,3367.81,48,17,0
2025-08-25 02:10:00+00:00,3367.85,3368.14,3367.73,3368.14,25,17,0
2025-08-25 02:11:00+00:00,3368.16,3368.31,3368.03,3368.19,34,17,0
2025-08-25 02:12:00+00:00,3368.15,3368.15,3367.54,3367.77,36,17,0
2025-08-25 02:13:00+00:00,3367.81,3367.81,3367.37,3367.38,34,17,0
2025-08-25 02:14:00+00:00,3367.3,3367.69,3367.3,3367.59,32,17,0
2025-08-25 02:15:00+00:00,3367.57,3367.71,3367.52,3367.69,22,17,0
2025-08-25 02:16:00+00:00,3367.69,3367.94,3367.59,3367.9,28,17,0
2025-08-25 02:17:00+00:00,3367.89,3368.01,3367.86,3368.0,25,17,0
2025-08-25 02:18:00+00:00,3368.02,3368.06,3367.59,3367.91,32,17,0
2025-08-25 02:19:00+00:00,3367.92,3367.92,3367.86,3367.89,13,17,0
2025-08-25 02:20:00+00:00,3367.88,3367.88,3367.82,3367.85,18,17,0
2025-08-25 02:21:00+00:00,3367.85,3367.94,3367.69,3367.94,22,17,0
2025-08-25 02:22:00+00:00,3367.93,3368.04,3367.87,3367.87,19,17,0
2025-08-25 02:23:00+00:00,3367.84,3368.0,3367.72,3367.88,24,18,0
2025-08-25 02:24:00+00:00,3367.88,3367.88,3367.76,3367.79,19,18,0
2025-08-25 02:25:00+00:00,3367.79,3367.83,3367.34,3367.38,26,18,0
2025-08-25 02:26:00+00:00,3367.38,3367.47,3366.76,3366.8,24,18,0
2025-08-25 02:27:00+00:00,3366.76,3367.05,3366.76,3367.03,26,18,0
2025-08-25 02:28:00+00:00,3367.06,3367.06,3366.89,3366.94,26,18,0
2025-08-25 02:29:00+00:00,3367.11,3367.35,3367.03,3367.35,29,18,0
2025-08-25 02:30:00+00:00,3367.35,3367.51,3367.05,3367.24,29,18,0
2025-08-25 02:31:00+00:00,3367.21,3367.38,3367.16,3367.22,18,18,0
2025-08-25 02:32:00+00:00,3367.23,3367.23,3366.94,3366.95,21,18,0
2025-08-25 02:33:00+00:00,3366.95,3367.08,3366.9,3366.96,26,18,0
2025-08-25 02:34:00+00:00,3366.95,3367.13,3366.95,3367.11,19,18,0
2025-08-25 02:35:00+00:00,3367.16,3367.7,3367.1,3367.66,31,18,0
2025-08-25 02:36:00+00:00,3367.59,3367.63,3367.5,3367.51,22,18,0
2025-08-25 02:37:00+00:00,3367.5,3367.6,3367.12,3367.12,42,18,0
2025-08-25 02:38:00+00:00,3367.14,3367.62,3367.12,3367.5,31,18,0
2025-08-25 02:39:00+00:00,3367.49,3367.71,3367.37,3367.58,28,18,0
2025-08-25 02:40:00+00:00,3367.53,3368.29,3367.53,3367.53,46,17,0
2025-08-25 02:41:00+00:00,3367.54,3367.73,3366.79,3367.1,52,17,0
2025-08-25 02:42:00+00:00,3367.1,3367.31,3366.97,3367.22,40,18,0
2025-08-25 02:43:00+00:00,3367.22,3367.3,3367.19,3367.25,26,18,0
2025-08-25 02:44:00+00:00,3367.22,3367.29,3367.06,3367.17,26,18,0
2025-08-25 02:45:00+00:00,3367.17,3367.36,3367.04,3367.12,38,18,0
2025-08-25 02:46:00+00:00,3367.13,3367.32,3366.95,3367.32,32,18,0
2025-08-25 02:47:00+00:00,3367.33,3368.36,3367.33,3368.33,51,18,0
2025-08-25 02:48:00+00:00,3368.36,3368.92,3368.28,3368.84,56,17,0
2025-08-25 02:49:00+00:00,3368.74,3369.2,3368.34,3369.2,48,17,0
2025-08-25 02:50:00+00:00,3369.13,3369.7,3369.13,3369.64,50,17,0
2025-08-25 02:51:00+00:00,3369.64,3369.76,3368.96,3369.67,53,17,0
2025-08-25 02:52:00+00:00,3369.54,3369.86,3369.37,3369.85,41,17,0
2025-08-25 02:53:00+00:00,3369.94,3370.86,3369.94,3370.82,67,17,0
2025-08-25 02:54:00+00:00,3370.79,3371.0,3370.18,3370.43,55,17,0
2025-08-25 02:55:00+00:00,3370.41,3370.41,3369.53,3369.53,41,17,0
2025-08-25 02:56:00+00:00,3369.54,3369.54,3368.5,3368.65,38,17,0
2025-08-25 02:57:00+00:00,3368.64,3368.72,3368.38,3368.69,32,14,0
2025-08-25 02:58:00+00:00,3368.68,3369.47,3368.68,3368.96,46,17,0
2025-08-25 02:59:00+00:00,3368.96,3369.22,3368.81,3369.08,28,17,0
2025-08-25 03:00:00+00:00,3369.07,3369.63,3368.31,3368.31,76,17,0
2025-08-25 03:01:00+00:00,3368.19,3368.39,3367.59,3367.75,65,17,0
2025-08-25 03:02:00+00:00,3367.74,3368.13,3367.1,3367.1,70,17,0
2025-08-25 03:03:00+00:00,3367.02,3367.4,3366.97,3366.98,52,17,0
2025-08-25 03:04:00+00:00,3366.99,3367.12,3366.04,3366.25,68,17,0
2025-08-25 03:05:00+00:00,3366.25,3366.39,3365.6,3365.79,69,17,0
2025-08-25 03:06:00+00:00,3365.79,3366.54,3365.79,3366.06,63,18,0
2025-08-25 03:07:00+00:00,3366.1,3366.1,3365.03,3365.03,61,17,0
2025-08-25 03:08:00+00:00,3365.03,3365.1,3364.5,3364.96,74,10,0
2025-08-25 03:09:00+00:00,3364.99,3365.54,3364.86,3365.3,53,17,0
2025-08-25 03:10:00+00:00,3365.29,3365.57,3364.41,3364.57,60,17,0
2025-08-25 03:11:00+00:00,3364.58,3365.06,3364.55,3364.94,60,17,0
2025-08-25 03:12:00+00:00,3364.97,3365.07,3364.71,3365.03,41,17,0
2025-08-25 03:13:00+00:00,3365.02,3365.02,3364.68,3364.75,44,17,0
2025-08-25 03:14:00+00:00,3364.76,3365.35,3364.65,3365.28,45,17,0
2025-08-25 03:15:00+00:00,3365.29,3365.82,3365.29,3365.44,51,17,0
2025-08-25 03:16:00+00:00,3365.34,3365.34,3364.78,3364.87,53,17,0
2025-08-25 03:17:00+00:00,3364.81,3365.3,3364.7,3365.11,38,17,0
2025-08-25 03:18:00+00:00,3365.08,3365.37,3365.08,3365.2,45,17,0
2025-08-25 03:19:00+00:00,3365.1,3365.1,3364.76,3364.93,39,17,0
2025-08-25 03:20:00+00:00,3364.92,3365.32,3364.52,3365.16,48,17,0
2025-08-25 03:21:00+00:00,3365.22,3365.42,3365.13,3365.13,40,17,0
2025-08-25 03:22:00+00:00,3365.3,3366.19,3365.3,3365.92,54,5,0
2025-08-25 03:23:00+00:00,3365.91,3366.0,3365.33,3365.35,40,17,0
2025-08-25 03:24:00+00:00,3365.35,3365.44,3365.16,3365.39,29,17,0
2025-08-25 03:25:00+00:00,3365.37,3365.9,3365.25,3365.54,51,12,0
2025-08-25 03:26:00+00:00,3365.59,3365.79,3365.45,3365.68,40,17,0
2025-08-25 03:27:00+00:00,3365.7,3365.7,3365.11,3365.17,49,17,0
2025-08-25 03:28:00+00:00,3365.2,3365.44,3364.91,3365.27,41,17,0
2025-08-25 03:29:00+00:00,3365.21,3365.37,3364.62,3364.89,46,17,0
2025-08-25 03:30:00+00:00,3364.88,3365.28,3364.71,3365.27,37,17,0
2025-08-25 03:31:00+00:00,3365.25,3365.49,3365.03,3365.48,33,17,0
2025-08-25 03:32:00+00:00,3365.47,3365.56,3365.38,3365.42,34,17,0
2025-08-25 03:33:00+00:00,3365.35,3365.35,3364.73,3365.03,47,17,0
2025-08-25 03:34:00+00:00,3364.95,3365.02,3364.62,3364.87,28,17,0
2025-08-25 03:35:00+00:00,3364.87,3365.16,3364.76,3364.84,36,17,0
2025-08-25 03:36:00+00:00,3364.85,3364.99,3364.78,3364.89,42,17,0
2025-08-25 03:37:00+00:00,3364.89,3364.99,3364.72,3364.75,27,17,0
2025-08-25 03:38:00+00:00,3364.76,3364.88,3364.74,3364.75,28,17,0
2025-08-25 03:39:00+00:00,3364.73,3364.82,3364.47,3364.57,32,17,0
2025-08-25 03:40:00+00:00,3364.58,3365.05,3364.46,3365.02,37,18,0
2025-08-25 03:41:00+00:00,3364.99,3365.08,3364.82,3364.98,31,18,0
2025-08-25 03:42:00+00:00,3364.98,3365.42,3364.8,3364.99,34,17,0
2025-08-25 03:43:00+00:00,3365.0,3365.24,3364.72,3364.88,32,17,0
2025-08-25 03:44:00+00:00,3364.86,3364.9,3364.4,3364.88,42,17,0
2025-08-25 03:45:00+00:00,3364.72,3364.81,3363.72,3364.01,45,17,0
2025-08-25 03:46:00+00:00,3364.08,3364.24,3363.55,3364.24,52,17,0
2025-08-25 03:47:00+00:00,3364.24,3364.29,3363.61,3364.06,50,17,0
2025-08-25 03:48:00+00:00,3364.07,3364.07,3363.48,3363.67,48,17,0
2025-08-25 03:49:00+00:00,3363.64,3364.05,3363.28,3363.84,52,17,0
2025-08-25 03:50:00+00:00,3363.87,3364.51,3363.79,3364.14,48,17,0
2025-08-25 03:51:00+00:00,3364.15,3364.91,3364.05,3364.83,46,17,0
2025-08-25 03:52:00+00:00,3364.88,3365.6,3364.83,3365.26,61,17,0
2025-08-25 03:53:00+00:00,3365.26,3365.28,3364.85,3364.94,58,17,0
2025-08-25 03:54:00+00:00,3364.91,3365.24,3364.01,3364.34,53,17,0
2025-08-25 03:55:00+00:00,3364.33,3364.57,3364.0,3364.04,47,17,0
2025-08-25 03:56:00+00:00,3363.87,3364.14,3363.73,3364.1,41,17,0
2025-08-25 03:57:00+00:00,3364.07,3364.8,3364.07,3364.1,45,17,0
2025-08-25 03:58:00+00:00,3364.12,3364.53,3364.08,3364.53,42,18,0
2025-08-25 03:59:00+00:00,3364.59,3365.27,3364.49,3364.86,62,14,0
2025-08-25 04:00:00+00:00,3364.86,3366.49,3364.58,3365.64,89,18,0
2025-08-25 04:01:00+00:00,3365.67,3367.22,3365.16,3367.0,84,17,0
2025-08-25 04:02:00+00:00,3366.98,3367.76,3366.89,3366.89,75,15,0
2025-08-25 04:03:00+00:00,3366.61,3366.61,3365.13,3365.44,81,17,0
2025-08-25 04:04:00+00:00,3365.41,3366.4,3365.41,3365.87,71,17,0
2025-08-25 04:05:00+00:00,3365.86,3365.97,3365.27,3365.3,62,17,0
2025-08-25 04:06:00+00:00,3365.34,3365.86,3364.98,3365.11,64,15,0
2025-08-25 04:07:00+00:00,3365.11,3365.55,3364.48,3365.55,65,17,0
2025-08-25 04:08:00+00:00,3365.54,3365.82,3365.05,3365.05,59,17,0
2025-08-25 04:09:00+00:00,3365.02,3365.02,3364.38,3364.75,61,17,0
2025-08-25 04:10:00+00:00,3364.62,3365.42,3364.49,3364.99,59,17,0
2025-08-25 04:11:00+00:00,3364.91,3365.31,3364.82,3365.24,52,17,0
2025-08-25 04:12:00+00:00,3365.53,3365.57,3364.83,3364.83,44,17,0
2025-08-25 04:13:00+00:00,3364.84,3365.11,3364.43,3364.79,41,17,0
2025-08-25 04:14:00+00:00,3364.71,3364.71,3364.01,3364.44,54,17,0
2025-08-25 04:15:00+00:00,3364.56,3365.88,3364.42,3365.29,80,17,0
2025-08-25 04:16:00+00:00,3365.38,3365.74,3364.94,3365.11,58,17,0
2025-08-25 04:17:00+00:00,3364.92,3365.75,3364.91,3365.29,57,17,0
2025-08-25 04:18:00+00:00,3365.25,3365.57,3365.02,3365.39,59,17,0
2025-08-25 04:19:00+00:00,3365.39,3365.62,3365.17,3365.36,56,17,0
2025-08-25 04:20:00+00:00,3365.17,3365.44,3364.88,3365.02,45,17,0
2025-08-25 04:21:00+00:00,3365.02,3365.16,3364.55,3365.09,55,17,0
2025-08-25 04:22:00+00:00,3365.11,3365.64,3365.1,3365.38,51,17,0
2025-08-25 04:23:00+00:00,3365.37,3366.06,3365.11,3365.74,53,17,0
2025-08-25 04:24:00+00:00,3365.84,3365.84,3365.11,3365.71,59,17,0
2025-08-25 04:25:00+00:00,3365.7,3365.8,3365.37,3365.37,49,17,0
2025-08-25 04:26:00+00:00,3365.35,3365.53,3365.12,3365.32,47,17,0
2025-08-25 04:27:00+00:00,3365.29,3365.48,3364.5,3364.54,68,17,0
2025-08-25 04:28:00+00:00,3364.55,3364.73,3364.21,3364.72,68,18,0
2025-08-25 04:29:00+00:00,3364.74,3365.04,3364.56,3364.71,61,18,0
2025-08-25 04:30:00+00:00,3364.58,3365.09,3364.01,3364.02,69,17,0
2025-08-25 04:31:00+00:00,3364.1,3364.33,3364.0,3364.21,48,17,0
2025-08-25 04:32:00+00:00,3364.2,3364.22,3363.22,3363.6,77,17,0
2025-08-25 04:33:00+00:00,3363.64,3363.66,3363.42,3363.51,60,18,0
2025-08-25 04:34:00+00:00,3363.5,3363.87,3363.28,3363.43,60,18,0
2025-08-25 04:35:00+00:00,3363.43,3363.73,3363.25,3363.25,62,18,0
2025-08-25 04:36:00+00:00,3363.19,3363.63,3363.16,3363.5,56,18,0
2025-08-25 04:37:00+00:00,3363.48,3363.73,3363.42,3363.5,40,18,0
2025-08-25 04:38:00+00:00,3363.42,3363.47,3362.77,3362.77,58,18,0
2025-08-25 04:39:00+00:00,3362.81,3362.88,3362.41,3362.85,69,18,0
2025-08-25 04:40:00+00:00,3362.95,3364.03,3362.95,3363.74,57,17,0
2025-08-25 04:41:00+00:00,3363.77,3364.19,3363.52,3364.15,70,17,0
2025-08-25 04:42:00+00:00,3363.97,3364.27,3363.78,3364.19,59,18,0
2025-08-25 04:43:00+00:00,3364.15,3364.16,3362.03,3362.37,74,17,0
2025-08-25 04:44:00+00:00,3362.37,3362.71,3361.95,3362.21,64,17,0
2025-08-25 04:45:00+00:00,3362.23,3362.23,3361.8,3361.91,46,17,0
2025-08-25 04:46:00+00:00,3361.96,3361.96,3361.45,3361.56,46,17,0
2025-08-25 04:47:00+00:00,3361.57,3361.86,3360.86,3361.86,55,17,0
2025-08-25 04:48:00+00:00,3361.81,3362.47,3361.68,3361.79,63,17,0
2025-08-25 04:49:00+00:00,3361.79,3362.14,3361.52,3361.94,54,17,0
2025-08-25 04:50:00+00:00,3362.04,3362.18,3361.67,3361.79,56,17,0
2025-08-25 04:51:00+00:00,3361.87,3361.87,3361.07,3361.16,68,17,0
2025-08-25 04:52:00+00:00,3361.14,3361.45,3360.98,3361.07,52,17,0
2025-08-25 04:53:00+00:00,3361.06,3361.15,3360.76,3360.76,48,17,0
2025-08-25 04:54:00+00:00,3360.78,3361.7,3360.67,3361.54,66,17,0
2025-08-25 04:55:00+00:00,3361.55,3362.33,3361.54,3362.18,69,10,0
2025-08-25 04:56:00+00:00,3362.18,3362.56,3362.16,3362.56,53,17,0
2025-08-25 04:57:00+00:00,3362.54,3363.14,3362.45,3362.67,58,17,0
2025-08-25 04:58:00+00:00,3362.68,3362.73,3362.34,3362.48,61,17,0
2025-08-25 04:59:00+00:00,3362.51,3362.98,3362.51,3362.88,50,17,0
2025-08-25 05:00:00+00:00,3362.88,3362.97,3362.2,3362.2,60,17,0
2025-08-25 05:01:00+00:00,3362.23,3362.57,3361.68,3362.05,56,5,0
2025-08-25 05:02:00+00:00,3362.0,3362.16,3361.83,3361.94,53,17,0
2025-08-25 05:03:00+00:00,3361.88,3362.76,3361.82,3362.6,60,17,0
2025-08-25 05:04:00+00:00,3362.59,3362.59,3361.83,3362.33,54,17,0
2025-08-25 05:05:00+00:00,3362.34,3362.83,3362.31,3362.63,63,17,0
2025-08-25 05:06:00+00:00,3362.62,3362.72,3361.88,3361.88,59,17,0
2025-08-25 05:07:00+00:00,3361.9,3362.21,3361.88,3361.96,48,17,0
2025-08-25 05:08:00+00:00,3361.92,3361.92,3360.1,3360.12,69,5,0
2025-08-25 05:09:00+00:00,3360.07,3360.91,3359.99,3360.78,52,5,0
2025-08-25 05:10:00+00:00,3360.67,3360.67,3360.04,3360.28,53,17,0
2025-08-25 05:11:00+00:00,3360.27,3360.3,3359.81,3359.91,28,7,0
2025-08-25 05:12:00+00:00,3360.0,3361.38,3360.0,3361.13,61,17,0
2025-08-25 05:13:00+00:00,3361.11,3361.28,3360.62,3360.66,55,17,0
2025-08-25 05:14:00+00:00,3360.61,3361.29,3360.14,3360.62,61,17,0
2025-08-25 05:15:00+00:00,3360.54,3360.58,3360.05,3360.29,55,16,0
2025-08-25 05:16:00+00:00,3360.3,3360.77,3360.21,3360.48,58,15,0
2025-08-25 05:17:00+00:00,3360.29,3360.49,3360.19,3360.46,41,17,0
2025-08-25 05:18:00+00:00,3360.54,3361.07,3360.54,3360.93,50,17,0
2025-08-25 05:19:00+00:00,3360.93,3361.75,3360.93,3361.71,57,17,0
2025-08-25 05:20:00+00:00,3361.71,3362.46,3361.69,3361.95,56,17,0
2025-08-25 05:21:00+00:00,3361.98,3362.09,3361.31,3361.42,42,17,0
2025-08-25 05:22:00+00:00,3361.41,3361.69,3361.33,3361.53,44,17,0
2025-08-25 05:23:00+00:00,3361.47,3362.16,3361.47,3362.07,49,17,0
2025-08-25 05:24:00+00:00,3362.16,3362.61,3361.98,3362.22,57,17,0
2025-08-25 05:25:00+00:00,3362.18,3362.62,3362.11,3362.11,45,14,0
2025-08-25 05:26:00+00:00,3362.11,3362.28,3361.75,3361.88,50,17,0
2025-08-25 05:27:00+00:00,3361.85,3361.88,3360.94,3360.97,45,17,0
2025-08-25 05:28:00+00:00,3361.02,3362.34,3361.02,3362.34,49,17,0
2025-08-25 05:29:00+00:00,3362.25,3362.9,3362.24,3362.41,52,17,0
2025-08-25 05:30:00+00:00,3362.39,3363.34,3362.39,3363.22,65,17,0
2025-08-25 05:31:00+00:00,3363.22,3363.59,3363.01,3363.48,61,18,0
2025-08-25 05:32:00+00:00,3363.49,3363.79,3363.03,3363.44,65,17,0
2025-08-25 05:33:00+00:00,3363.43,3364.02,3363.19,3364.02,41,17,0
2025-08-25 05:34:00+00:00,3364.01,3364.1,3363.62,3364.01,52,17,0
2025-08-25 05:35:00+00:00,3364.06,3364.9,3364.06,3364.86,45,17,0
2025-08-25 05:36:00+00:00,3364.85,3364.85,3364.49,3364.52,50,17,0
2025-08-25 05:37:00+00:00,3364.5,3364.88,3363.95,3364.68,62,17,0
2025-08-25 05:38:00+00:00,3364.41,3364.41,3363.58,3363.89,49,17,0
2025-08-25 05:39:00+00:00,3363.88,3364.67,3363.88,3364.4,44,17,0
2025-08-25 05:40:00+00:00,3364.41,3364.5,3364.06,3364.26,47,17,0
2025-08-25 05:41:00+00:00,3364.32,3364.32,3363.71,3364.04,42,17,0
2025-08-25 05:42:00+00:00,3364.04,3364.28,3363.87,3364.22,39,17,0
2025-08-25 05:43:00+00:00,3364.19,3364.24,3364.08,3364.15,29,17,0
2025-08-25 05:44:00+00:00,3364.04,3364.15,3363.83,3363.83,33,12,0
2025-08-25 05:45:00+00:00,3363.81,3364.03,3363.53,3363.53,38,17,0
2025-08-25 05:46:00+00:00,3363.55,3363.71,3363.31,3363.31,40,17,0
