Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025-09-01 05:48:00+00:00,3477.32,3478.53,3476.66,3478.34,94,13,0
2025-09-01 05:49:00+00:00,3478.43,3478.43,3475.14,3476.31,95,16,0
2025-09-01 05:50:00+00:00,3476.32,3476.32,3474.32,3476.02,95,15,0
2025-09-01 05:51:00+00:00,3476.1,3476.54,3474.25,3474.87,87,12,0
2025-09-01 05:52:00+00:00,3474.92,3476.46,3474.88,3475.35,88,15,0
2025-09-01 05:53:00+00:00,3475.37,3476.48,3474.56,3475.74,83,15,0
2025-09-01 05:54:00+00:00,3476.03,3476.73,3475.17,3475.24,79,15,0
2025-09-01 05:55:00+00:00,3475.16,3479.06,3474.74,3478.55,90,5,0
2025-09-01 05:56:00+00:00,3478.52,3480.08,3478.38,3479.81,87,16,0
2025-09-01 05:57:00+00:00,3480.14,3484.62,3480.05,3484.29,100,16,0
2025-09-01 05:58:00+00:00,3484.24,3484.72,3483.28,3483.46,100,14,0
2025-09-01 05:59:00+00:00,3483.45,3484.46,3482.74,3483.57,90,15,0
2025-09-01 06:00:00+00:00,3483.67,3485.04,3483.5,3484.76,88,8,0
2025-09-01 06:01:00+00:00,3484.54,3485.73,3484.47,3485.65,81,15,0
2025-09-01 06:02:00+00:00,3485.66,3486.04,3481.54,3481.81,88,6,0
2025-09-01 06:03:00+00:00,3481.75,3482.09,3478.57,3478.57,101,10,0
2025-09-01 06:04:00+00:00,3478.58,3479.65,3478.26,3478.52,94,15,0
2025-09-01 06:05:00+00:00,3478.52,3479.31,3476.12,3476.61,98,16,0
2025-09-01 06:06:00+00:00,3476.65,3478.45,3475.91,3477.88,88,16,0
2025-09-01 06:07:00+00:00,3477.9,3479.34,3477.49,3479.01,88,16,0
2025-09-01 06:08:00+00:00,3478.85,3478.85,3475.58,3475.71,92,15,0
2025-09-01 06:09:00+00:00,3476.03,3476.3,3474.03,3474.44,88,12,0
2025-09-01 06:10:00+00:00,3474.47,3474.55,3472.68,3473.35,87,15,0
2025-09-01 06:11:00+00:00,3473.37,3473.55,3470.18,3470.41,91,15,0
2025-09-01 06:12:00+00:00,3470.44,3472.12,3469.94,3471.97,89,15,0
2025-09-01 06:13:00+00:00,3472.01,3473.97,3472.01,3473.88,83,15,0
2025-09-01 06:14:00+00:00,3473.94,3474.02,3472.41,3473.42,82,15,0
2025-09-01 06:15:00+00:00,3473.4,3473.89,3471.83,3472.86,76,15,0
2025-09-01 06:16:00+00:00,3472.9,3476.09,3472.47,3475.95,68,15,0
2025-09-01 06:17:00+00:00,3476.04,3476.2,3474.78,3475.22,78,15,0
2025-09-01 06:18:00+00:00,3475.14,3475.2,3473.11,3473.34,84,15,0
2025-09-01 06:19:00+00:00,3473.54,3474.11,3472.9,3473.13,85,6,0
2025-09-01 06:20:00+00:00,3473.12,3473.33,3471.27,3471.41,75,15,0
2025-09-01 06:21:00+00:00,3471.35,3472.96,3471.35,3472.1,86,15,0
2025-09-01 06:22:00+00:00,3471.96,3472.38,3470.55,3471.36,82,15,0
2025-09-01 06:23:00+00:00,3471.42,3473.34,3471.42,3473.34,84,15,0
2025-09-01 06:24:00+00:00,3473.42,3473.9,3472.7,3473.41,74,11,0
2025-09-01 06:25:00+00:00,3473.32,3473.93,3472.7,3472.76,72,15,0
2025-09-01 06:26:00+00:00,3472.77,3472.77,3470.61,3470.93,76,15,0
2025-09-01 06:27:00+00:00,3471.24,3471.24,3469.87,3470.04,85,15,0
2025-09-01 06:28:00+00:00,3470.0,3471.35,3469.75,3471.21,82,15,0
2025-09-01 06:29:00+00:00,3471.32,3471.7,3471.18,3471.6,70,15,0
2025-09-01 06:30:00+00:00,3471.64,3473.46,3471.46,3473.21,82,15,0
2025-09-01 06:31:00+00:00,3473.2,3474.16,3472.6,3473.71,76,15,0
2025-09-01 06:32:00+00:00,3473.73,3474.03,3472.65,3472.73,83,14,0
2025-09-01 06:33:00+00:00,3473.16,3476.23,3472.95,3474.95,91,15,0
2025-09-01 06:34:00+00:00,3474.93,3474.93,3473.67,3474.3,76,15,0
2025-09-01 06:35:00+00:00,3474.14,3475.51,3473.76,3474.95,76,15,0
2025-09-01 06:36:00+00:00,3474.93,3474.93,3473.15,3473.84,82,15,0
2025-09-01 06:37:00+00:00,3473.75,3474.07,3473.18,3473.9,75,11,0
2025-09-01 06:38:00+00:00,3473.91,3476.21,3473.91,3476.21,82,15,0
2025-09-01 06:39:00+00:00,3476.35,3476.37,3475.21,3475.29,76,15,0
